state,date,monthly_num_plants,yearly_num_plants,total_facility_age,total_weighted_facility_age
VA,1997-12,10,10,114,36397398.0
VT,1997-12,1,1,12,175854.0
WA,1997-12,2,2,15,12081138.0
WI,1997-12,22,22,501,89217124.5
WV,1997-12,13,13,360,218335599.0
WY,1997-12,6,6,120,85514964.0
AL,1998-01,10,11,214,118453477.0
AR,1998-01,4,7,52,30339556.0
AZ,1998-01,9,11,117,46696204.75
CA,1998-01,25,26,310,33987839.0
CO,1998-01,14,13,182,40821959.1
CT,1998-01,6,6,78,16950846.25
DC,1998-01,1,0,13,3321.5
DE,1998-01,4,5,52,4473264.25
FL,1998-01,44,46,635,156755634.25
GA,1998-01,13,13,385,172806729.0
IA,1998-01,20,19,380,50902756.25
ID,1998-01,1,1,13,451844.25
IL,1998-01,27,27,654,199005818.5
IN,1998-01,23,22,635,291537538.5
KS,1998-01,9,14,165,59022562.0
KY,1998-01,20,21,548,229819781.25
LA,1998-01,19,19,247,45666403.25
MA,1998-01,10,11,190,62076086.25
MD,1998-01,12,12,252,62866585.25
ME,1998-01,2,2,17,2134194.25
MI,1998-01,24,24,408,110634565.75
MN,1998-01,12,12,198,73874337.5
MO,1998-01,18,18,534,192357836.25
MS,1998-01,8,10,176,44492318.0
MT,1998-01,2,3,26,20048294.5
NC,1998-01,15,14,195,62116073.5
ND,1998-01,7,7,91,34955735.75
NE,1998-01,8,9,104,20371091.0
NH,1998-01,3,3,87,19313831.75
NJ,1998-01,9,12,141,9809310.5
NM,1998-01,6,8,72,33616519.75
NV,1998-01,5,5,65,24458495.75
NY,1998-01,29,28,533,96329752.75
OH,1998-01,23,24,707,426274355.0
OK,1998-01,12,13,156,45912148.75
OR,1998-01,3,3,39,9039137.25
PA,1998-01,25,31,595,264554670.75
RI,1998-01,1,3,13,3247049.0
SC,1998-01,13,14,163,35578835.25
SD,1998-01,3,3,39,4195529.0
TN,1998-01,7,7,187,150338932.75
TX,1998-01,81,84,1041,236817249.0
UT,1998-01,5,6,65,41688829.0
VA,1998-01,10,9,124,37529183.25
VT,1998-01,1,1,13,406614.0
WA,1998-01,2,2,17,12358328.75
WI,1998-01,22,22,523,96863047.0
WV,1998-01,13,12,373,219589619.0
WY,1998-01,6,6,126,95260079.0
AL,1998-02,11,11,238,117025104.0
AR,1998-02,5,7,70,22151556.0
AZ,1998-02,9,11,126,36360898.0
CA,1998-02,23,26,307,24853495.75
CO,1998-02,14,13,196,37852095.96
CT,1998-02,6,6,84,12861366.0
DC,1998-02,1,0,14,80136.0
DE,1998-02,5,5,70,4494591.5
FL,1998-02,42,46,627,144696267.5
GA,1998-02,13,13,398,156246177.0
IA,1998-02,19,19,362,50590225.5
ID,1998-02,1,1,14,0.0
IL,1998-02,25,27,629,161418063.25
IN,1998-02,23,22,658,277852710.5
KS,1998-02,10,14,188,51734511.5
KY,1998-02,20,21,568,200512543.0
LA,1998-02,17,19,238,39910608.5
MA,1998-02,10,11,200,52783558.5
MD,1998-02,11,12,226,66953023.0
ME,1998-02,1,2,14,333287.5
MI,1998-02,24,24,432,106974861.0
MN,1998-02,11,12,196,68345936.5
MO,1998-02,17,18,514,183300028.5
MS,1998-02,7,10,170,30904411.5
MT,1998-02,2,3,28,19427002.0
NC,1998-02,14,14,196,52167836.0
ND,1998-02,7,7,98,33626834.5
NE,1998-02,8,9,112,20634631.5
NH,1998-02,3,3,90,12287487.0
NJ,1998-02,11,12,178,8226436.0
NM,1998-02,7,8,92,31450532.0
NV,1998-02,5,5,70,21943505.5
NY,1998-02,29,28,562,86394005.5
OH,1998-02,23,24,730,381973562.9
OK,1998-02,11,13,154,44798806.5
OR,1998-02,3,3,42,7147318.5
PA,1998-02,26,31,634,257901399.0
RI,1998-02,1,3,14,2138860.5
SC,1998-02,13,14,176,31575172.0
SD,1998-02,3,3,42,3664335.5
TN,1998-02,7,7,194,134642307.0
TX,1998-02,79,84,1094,220009157.75
UT,1998-02,5,6,70,39569061.0
VA,1998-02,10,9,134,35638470.0
VT,1998-02,1,1,14,199269.0
WA,1998-02,2,2,19,9985991.25
WI,1998-02,21,22,531,86498043.25
WV,1998-02,12,12,348,213080465.0
WY,1998-02,6,6,132,92913428.5
AL,1998-03,11,11,249,137421924.75
AR,1998-03,9,7,135,24714150.0
AZ,1998-03,11,11,165,45195011.25
CA,1998-03,25,26,360,34368459.0
CO,1998-03,14,13,210,43053002.7
CT,1998-03,6,6,90,15922473.75
DE,1998-03,5,5,75,8730386.25
FL,1998-03,45,46,738,169105838.25
GA,1998-03,15,13,441,209948920.5
IA,1998-03,20,19,420,59112074.25
ID,1998-03,1,1,15,84967.5
IL,1998-03,26,27,693,176155306.5
