state,date,monthly_renew_pct,monthly_fossil_pct,monthly_coal_pct,yearly_renew_pct,yearly_fossil_pct,yearly_coal_pct
WA,1994-09,0.7463885789225027,0.15882298370372525,0.10834914813012898,0.740242641551742,0.16590944423616083,0.11098005524003461
WA,1994-10,0.7443376538501002,0.1611877652990775,0.10922709286489601,0.740242641551742,0.16590944423616083,0.11098005524003461
WA,1994-11,0.7422890093270835,0.16354991734872515,0.11010406135906192,0.740242641551742,0.16590944423616083,0.11098005524003461
WA,1994-12,0.7402426415517421,0.16590944423616083,0.11098005524003461,0.740242641551742,0.16590944423616083,0.11098005524003461
WA,1995-01,0.746604179166603,0.1603513824306214,0.10592831633637362,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-02,0.7528068783509142,0.15493209742206687,0.10100271207618772,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-03,0.7588566147022815,0.14964645571343832,0.09619857660873396,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-04,0.7647589775554644,0.144489573914913,0.09151147140648024,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-05,0.7705192872062216,0.1394568036954675,0.08693717158753617,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-06,0.7761426109063556,0.13454371780804206,0.08247165321388325,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-07,0.7816337777310309,0.1297460970999954,0.07811108148513896,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-08,0.786997392410053,0.12505991842874745,0.07385179975504813,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-09,0.7922378482063661,0.12048134340986147,0.06969031930458168,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-10,0.7973593389174787,0.1160067079314256,0.06562330981152655,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-11,0.8023658700687175,0.11163251237453078,0.06164759046184905,0.8072612693610982,0.10735541248498766,0.057760121652971334
WA,1995-12,0.8072612693610982,0.10735541248498766,0.057760121652971334,0.8072612693610982,0.10735541248498766,0.057760121652971334
