state,date,republican_vote_pct
ND,2004-12-01,15.86
NH,2004-12-01,16.54
NV,2004-12-01,5.86
NY,2004-12-01,2.18
OH,2004-12-01,21.28
OK,2004-12-01,17.59
OR,2004-12-01,5.29
PA,2004-12-01,10.52
SC,2004-12-01,6.71
SD,2004-12-01,25.29
UT,2004-12-01,13.75
VT,2004-12-01,3.51
WA,2004-12-01,10.68
WI,2004-12-01,8.82
AZ,2006-12-01,13.34
CA,2006-12-01,5.0
CT,2006-12-01,1.6
DE,2006-12-01,9.57
FL,2006-12-01,4.76
HI,2006-12-01,12.26
IN,2006-12-01,21.84
MA,2006-12-01,7.37
MD,2006-12-01,8.84
ME,2006-12-01,18.6
MI,2006-12-01,6.88
MN,2006-12-01,6.32
MO,2006-12-01,9.46
MS,2006-12-01,21.19
MT,2006-12-01,16.1
ND,2006-12-01,7.38
NE,2006-12-01,18.06
NJ,2006-12-01,4.93
NM,2006-12-01,9.78
NV,2006-12-01,11.07
NY,2006-12-01,2.58
OH,2006-12-01,14.61
PA,2006-12-01,13.76
RI,2006-12-01,23.24
TN,2006-12-01,4.61
TX,2006-12-01,20.56
UT,2006-12-01,10.39
VA,2006-12-01,12.3
VT,2006-12-01,4.62
WA,2006-12-01,7.99
WI,2006-12-01,5.9
WV,2006-12-01,11.48
WY,2006-12-01,13.78
AK,2008-12-01,7.75
AL,2008-12-01,21.12
CO,2008-12-01,6.07
DE,2008-12-01,17.66
GA,2008-12-01,28.72
IA,2008-12-01,12.42
ID,2008-12-01,9.61
IL,2008-12-01,4.76
KS,2008-12-01,15.01
KY,2008-12-01,26.48
LA,2008-12-01,9.14
MA,2008-12-01,5.97
ME,2008-12-01,20.44
MI,2008-12-01,5.64
MN,2008-12-01,5.25
MS,2008-12-01,29.1
MT,2008-12-01,13.54
NC,2008-12-01,11.05
NE,2008-12-01,14.38
NH,2008-12-01,11.31
NJ,2008-12-01,5.99
NM,2008-12-01,19.34
OK,2008-12-01,18.89
OR,2008-12-01,11.39
RI,2008-12-01,8.82
SC,2008-12-01,19.17
SD,2008-12-01,18.75
TN,2008-12-01,8.14
TX,2008-12-01,18.27
VA,2008-12-01,6.75
WV,2008-12-01,9.06
WY,2008-12-01,18.62
AK,2010-12-01,3.95
AL,2010-12-01,21.73
AR,2010-12-01,9.65
AZ,2010-12-01,6.54
CA,2010-12-01,4.22
CO,2010-12-01,4.64
CT,2010-12-01,3.32
DE,2010-12-01,6.67
FL,2010-12-01,2.88
GA,2010-12-01,9.72
HI,2010-12-01,4.31
IA,2010-12-01,16.09
ID,2010-12-01,17.79
IL,2010-12-01,3.69
IN,2010-12-01,10.92
KS,2010-12-01,17.52
KY,2010-12-01,18.58
LA,2010-12-01,4.71
MD,2010-12-01,2.98
MO,2010-12-01,5.42
NC,2010-12-01,13.7
ND,2010-12-01,25.39
NH,2010-12-01,15.02
NV,2010-12-01,4.95
NY,2010-12-01,3.61
OH,2010-12-01,9.47
OK,2010-12-01,17.66
OR,2010-12-01,6.54
PA,2010-12-01,25.5
SC,2010-12-01,15.37
SD,2010-12-01,100.0
UT,2010-12-01,20.53
VT,2010-12-01,3.86
WA,2010-12-01,23.82
WI,2010-12-01,8.64
WV,2010-12-01,10.85
AZ,2012-12-01,9.85
CA,2012-12-01,18.74
CT,2012-12-01,4.0
DE,2012-12-01,7.24
FL,2012-12-01,4.69
HI,2012-12-01,9.21
IN,2012-12-01,8.86
MA,2012-12-01,11.45
MD,2012-12-01,2.93
ME,2012-12-01,4.25
MI,2012-12-01,3.8
MN,2012-12-01,5.09
MO,2012-12-01,4.35
MS,2012-12-01,14.29
MT,2012-12-01,14.95
ND,2012-12-01,16.44
NE,2012-12-01,28.89
NJ,2012-12-01,3.58
NM,2012-12-01,11.32
NV,2012-12-01,11.47
NY,2012-12-01,2.36
OH,2012-12-01,14.9
PA,2012-12-01,14.86
RI,2012-12-01,11.66
TN,2012-12-01,3.42
TX,2012-12-01,14.11
UT,2012-12-01,10.89
VA,2012-12-01,15.65
VT,2012-12-01,3.56
WA,2012-12-01,19.77
WI,2012-12-01,6.55
WV,2012-12-01,12.16
WY,2012-12-01,12.32
AK,2014-12-01,9.59
AL,2014-12-01,48.63
AR,2014-12-01,11.3
CO,2014-12-01,6.03
DE,2014-12-01,14.08
GA,2014-12-01,8.81
HI,2014-12-01,5.3
IA,2014-12-01,7.44
ID,2014-12-01,32.66
IL,2014-12-01,7.12
KS,2014-12-01,17.72
KY,2014-12-01,8.03
LA,2014-12-01,6.84
MA,2014-12-01,7.24
ME,2014-12-01,16.75
MI,2014-12-01,5.9
MN,2014-12-01,8.58
MS,2014-12-01,19.97
MT,2014-12-01,19.26
NC,2014-12-01,6.97
NE,2014-12-01,12.87
NH,2014-12-01,16.07
NJ,2014-12-01,6.05
NM,2014-12-01,22.22
OK,2014-12-01,16.98
OR,2014-12-01,6.14
RI,2014-12-01,9.75
SC,2014-12-01,11.54
SD,2014-12-01,12.59
TN,2014-12-01,4.76
TX,2014-12-01,12.31
VA,2014-12-01,12.08
WV,2014-12-01,6.9
WY,2014-12-01,10.15
AK,2016-12-01,6.34
AL,2016-12-01,21.32
AR,2016-12-01,14.94
AZ,2016-12-01,4.88
CO,2016-12-01,6.33
CT,2016-12-01,4.95
FL,2016-12-01,4.33
GA,2016-12-01,13.7
HI,2016-12-01,3.02
IA,2016-12-01,10.01
ID,2016-12-01,22.04
IL,2016-12-01,3.98
IN,2016-12-01,13.03
KS,2016-12-01,15.54
KY,2016-12-01,14.32
LA,2016-12-01,2.59
MD,2016-12-01,3.57
MO,2016-12-01,4.92
NC,2016-12-01,17.02
ND,2016-12-01,15.7
NH,2016-12-01,9.57
NV,2016-12-01,6.38
NY,2016-12-01,1.84
OH,2016-12-01,9.67
OK,2016-12-01,13.55
OR,2016-12-01,4.76
PA,2016-12-01,16.26
SC,2016-12-01,7.57
SD,2016-12-01,35.91
UT,2016-12-01,17.04
VT,2016-12-01,4.04
WA,2016-12-01,20.49
WI,2016-12-01,10.03
AZ,2018-12-01,11.9
CT,2018-12-01,6.56
DE,2018-12-01,9.45
FL,2018-12-01,16.68
HI,2018-12-01,14.42
IN,2018-12-01,12.68
MA,2018-12-01,9.04
MD,2018-12-01,6.06
ME,2018-12-01,8.81
MI,2018-12-01,7.63
MN,2018-12-01,7.86
MO,2018-12-01,8.56
MS,2018-12-01,18.6
MT,2018-12-01,15.59
ND,2018-12-01,18.37
NE,2018-12-01,14.42
NJ,2018-12-01,5.35
NM,2018-12-01,10.18
NV,2018-12-01,7.56
NY,2018-12-01,4.08
OH,2018-12-01,15.52
PA,2018-12-01,10.69
RI,2018-12-01,12.78
TN,2018-12-01,6.84
TX,2018-12-01,16.96
UT,2018-12-01,12.52
VA,2018-12-01,10.25
VT,2018-12-01,2.74
WA,2018-12-01,20.78
WI,2018-12-01,14.86
WV,2018-12-01,15.43
WY,2018-12-01,16.74
AK,2020-12-01,13.47
AL,2020-12-01,20.03
AR,2020-12-01,33.26
AZ,2020-12-01,2.57
CO,2020-12-01,5.52
DE,2020-12-01,9.47
GA,2020-12-01,4.32
IA,2020-12-01,7.27
ID,2020-12-01,15.66
IL,2020-12-01,4.86
KS,2020-12-01,17.74
KY,2020-12-01,7.22
LA,2020-12-01,4.08
MA,2020-12-01,6.44
ME,2020-12-01,8.4
MI,2020-12-01,6.89
MN,2020-12-01,8.7
MS,2020-12-01,18.04
MT,2020-12-01,27.51
NC,2020-12-01,12.17
NE,2020-12-01,12.55
NH,2020-12-01,10.25
NJ,2020-12-01,8.18
NM,2020-12-01,15.21
OK,2020-12-01,12.58
OR,2020-12-01,7.86
RI,2020-12-01,11.12
SC,2020-12-01,13.61
SD,2020-12-01,32.87
TN,2020-12-01,5.18
TX,2020-12-01,10.7
VA,2020-12-01,14.64
WV,2020-12-01,23.43
