,state,date,total_co2
611,AR,2005-12-01,2158332.175
612,AR,2006-01-01,2153019.028
613,AR,2006-02-01,2149133.415
614,AR,2006-03-01,2078114.175
615,AR,2006-04-01,2150700.08
616,AR,2006-05-01,2478547.069
617,AR,2006-06-01,3326532.1560000004
618,AR,2006-07-01,3596803.915
619,AR,2006-08-01,3564297.669
620,AR,2006-09-01,2948267.02
621,AR,2006-10-01,2607667.574
622,AR,2006-11-01,1848900.673
623,AR,2006-12-01,2606421.411
624,AR,2007-01-01,2984422.855
625,AR,2007-02-01,2579343.088
626,AR,2007-03-01,2269056.406
627,AR,2007-04-01,2117790.92
628,AR,2007-05-01,2743318.948
629,AR,2007-06-01,2888696.398
630,AR,2007-07-01,3268266.7430000002
631,AR,2007-08-01,3866144.435
632,AR,2007-09-01,3015738.6629999997
633,AR,2007-10-01,2035952.014
634,AR,2007-11-01,2074118.304
635,AR,2007-12-01,2878396.562
636,AR,2008-01-01,3108870.105
637,AR,2008-02-01,2392037.569
638,AR,2008-03-01,2297022.372
639,AR,2008-04-01,1931827.9449999998
640,AR,2008-05-01,2363983.861
641,AR,2008-06-01,2830388.739
642,AR,2008-07-01,3498866.2490000003
643,AR,2008-08-01,3357999.258
644,AR,2008-09-01,2396950.344
645,AR,2008-10-01,2508496.663
646,AR,2008-11-01,2871757.994
647,AR,2008-12-01,2907190.2770000002
648,AR,2009-01-01,2782951.704
649,AR,2009-02-01,2314227.942
650,AR,2009-03-01,2080774.384
651,AR,2009-04-01,2060631.657
652,AR,2009-05-01,2220404.7739999997
653,AR,2009-06-01,3308323.4060000004
654,AR,2009-07-01,3550583.341
655,AR,2009-08-01,3470629.7070000004
656,AR,2009-09-01,3018654.691
657,AR,2009-10-01,2286349.045
658,AR,2009-11-01,2434022.147
659,AR,2009-12-01,2587064.6169999996
660,AR,2010-01-01,2956903.3940000003
661,AR,2010-02-01,2568371.987
662,AR,2010-03-01,2260685.727
663,AR,2010-04-01,2546123.678
664,AR,2010-05-01,3141798.2580000004
665,AR,2010-06-01,3531661.633
666,AR,2010-07-01,3567027.069
667,AR,2010-08-01,4209821.706
668,AR,2010-09-01,3562437.275
669,AR,2010-10-01,2243429.631
670,AR,2010-11-01,2616510.648
671,AR,2010-12-01,3449617.267
672,AR,2011-01-01,3663472.5
673,AR,2011-02-01,3084404.856
674,AR,2011-03-01,2843949.043
675,AR,2011-04-01,2054504.476
676,AR,2011-05-01,2980555.4080000003
677,AR,2011-06-01,3608808.8109999998
678,AR,2011-07-01,4115343.213
679,AR,2011-08-01,4184424.268
680,AR,2011-09-01,3116305.667
681,AR,2011-10-01,3032353.705
682,AR,2011-11-01,2619390.514
683,AR,2011-12-01,3185473.823
684,AR,2012-01-01,3677492.483
685,AR,2012-02-01,3513284.2060000002
